solution_id,booth_label,booth_id,position_in_booth,job_index,job_id,feeder_index,part_id,topcoat
65,PB1,1,55,131,J000178,132,radar_bracket_b,C_POLAR_WHITE
65,PB1,1,56,135,J000039,136,front_bumper_d,C_SAPPHIRE_BLUE
65,PB1,1,57,39,J000042,40,front_bumper_d,C_OBSIDIAN_BLACK
65,PB1,1,58,2,J000003,3,upper_grille_b,C_IRIDIUM_SILVER
65,PB1,1,59,112,J000076,113,front_bumper_g,C_MILAN_SILVER
65,PB1,1,60,118,J000172,119,threshold_e,C_MILAN_SILVER
65,PB1,1,61,164,J000110,165,rear_bumper_f,C_RUBY_RED
65,PB1,1,62,33,J000034,34,front_bumper_c,C_OBSIDIAN_BLACK
65,PB1,1,63,16,J000031,17,front_bumper_c,C_SHINING_BLUE
65,PB1,1,64,84,J000157,85,threshold_b,C_OBSIDIAN_BLACK
65,PB1,1,65,132,J000013,133,front_bumper_a,C_SAPPHIRE_BLUE
65,PB1,1,66,9,J000173,10,threshold_trim_a,C_IRIDIUM_SILVER
65,PB1,1,67,61,J000103,62,rear_bumper_c,C_OBSIDIAN_BLACK
65,PB1,1,68,75,J000066,76,front_bumper_f,C_POLAR_WHITE
65,PB1,1,69,136,J000085,137,rear_bumper_a,C_SAPPHIRE_BLUE
65,PB1,1,70,110,J000026,111,front_bumper_a,C_MILAN_SILVER
65,PB1,1,71,76,J000067,77,front_bumper_f,C_POLAR_WHITE
65,PB1,1,72,18,J000051,19,front_bumper_e,C_SHINING_BLUE
65,PB1,1,73,3,J000004,4,upper_grille_b,C_IRIDIUM_SILVER
65,PB1,1,74,116,J000131,117,shell_a,C_MILAN_SILVER
65,PB1,1,75,180,J000130,181,shell_a,C_DENIM_BLUE
65,PB1,1,76,139,J000133,140,rim_decoration_a,C_SAPPHIRE_BLUE
65,PB1,1,77,14,J000011,15,front_bumper_a,C_SHINING_BLUE
65,PB1,1,78,20,J000064,21,front_bumper_f,C_SHINING_BLUE
65,PB1,1,79,165,J000111,166,rear_bumper_f,C_RUBY_RED
65,PB1,1,80,77,J000068,78,front_bumper_f,C_POLAR_WHITE
65,PB1,1,81,108,J000135,109,rim_decoration_a,C_POLAR_WHITE
65,PB1,1,82,141,J000177,142,radar_bracket_b,C_SAPPHIRE_BLUE
65,PB1,1,83,55,J000097,56,rear_bumper_c,C_OBSIDIAN_BLACK
65,PB1,1,84,82,J000146,83,threshold_a,C_OBSIDIAN_BLACK
65,PB1,1,85,178,J000183,179,radar_bracket_e,C_DIAMOND_WHITE
65,PB1,1,86,23,J000108,24,rear_bumper_f,C_SHINING_BLUE
65,PB1,1,87,90,J000165,91,threshold_c,C_OBSIDIAN_BLACK
65,PB1,1,88,41,J000044,42,front_bumper_d,C_OBSIDIAN_BLACK
65,PB1,1,89,15,J000012,16,front_bumper_a,C_SHINING_BLUE
65,PB1,1,90,87,J000160,88,threshold_b,C_OBSIDIAN_BLACK
65,PB2,2,0,153,J000117,154,rear_bumper_f,C_DIAMOND_WHITE
65,PB2,2,1,81,J000114,82,rear_bumper_f,C_OBSIDIAN_BLACK
65,PB2,2,2,92,J000180,93,radar_bracket_d,C_OBSIDIAN_BLACK
65,PB2,2,3,56,J000098,57,rear_bumper_c,C_OBSIDIAN_BLACK
65,PB2,2,4,21,J000079,22,rear_bumper_a,C_SHINING_BLUE
