exp_id,method_id,source_step,solution_type,solution_id,seed_mode,label,has_des,f1,f2,f3,f4,beta,theta,baseline_method_id,baseline_solution_id,delta_f1,delta_f2,delta_f3,dominates_baseline
E0,S07_NSGA,7,front_point,101,none,"S07_NSGA (seed=none, id=101)",False,137.0,0.2398647720392599,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,102,none,"S07_NSGA (seed=none, id=102)",False,137.0,0.2398647720392599,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,103,none,"S07_NSGA (seed=none, id=103)",False,136.0,0.2413151490499104,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,104,none,"S07_NSGA (seed=none, id=104)",False,134.0,0.2435693494640543,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,105,none,"S07_NSGA (seed=none, id=105)",False,133.0,0.2441634798057666,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,106,none,"S07_NSGA (seed=none, id=106)",False,133.0,0.2441634798057666,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,107,none,"S07_NSGA (seed=none, id=107)",False,128.0,0.2477632106996709,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,108,none,"S07_NSGA (seed=none, id=108)",False,128.0,0.2477632106996709,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,109,none,"S07_NSGA (seed=none, id=109)",False,126.0,0.2488815736958353,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,110,none,"S07_NSGA (seed=none, id=110)",False,126.0,0.2488815736958353,43.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,111,none,"S07_NSGA (seed=none, id=111)",False,161.0,0.2341331616839175,44.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,112,none,"S07_NSGA (seed=none, id=112)",False,136.0,0.2400220418355953,44.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,113,none,"S07_NSGA (seed=none, id=113)",False,134.0,0.2421189724534036,44.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,114,none,"S07_NSGA (seed=none, id=114)",False,125.0,0.251118299688164,44.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,115,none,"S07_NSGA (seed=none, id=115)",False,172.0,0.2326303614078217,45.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,116,none,"S07_NSGA (seed=none, id=116)",False,168.0,0.2336089290294656,45.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,117,none,"S07_NSGA (seed=none, id=117)",False,168.0,0.2336089290294656,45.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,118,none,"S07_NSGA (seed=none, id=118)",False,157.0,0.2341681105275478,45.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,119,none,"S07_NSGA (seed=none, id=119)",False,135.0,0.2391308463230269,45.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,120,none,"S07_NSGA (seed=none, id=120)",False,135.0,0.2391308463230269,45.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,121,none,"S07_NSGA (seed=none, id=121)",False,134.0,0.2415947397989516,45.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,122,none,"S07_NSGA (seed=none, id=122)",False,133.0,0.2418393817043625,45.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,123,none,"S07_NSGA (seed=none, id=123)",False,131.0,0.2426432051078557,45.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,124,none,"S07_NSGA (seed=none, id=124)",False,131.0,0.2426432051078557,45.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,125,none,"S07_NSGA (seed=none, id=125)",False,176.0,0.2309702913353902,46.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,126,none,"S07_NSGA (seed=none, id=126)",False,176.0,0.2309702913353902,46.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,127,none,"S07_NSGA (seed=none, id=127)",False,175.0,0.2321236031751848,46.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,128,none,"S07_NSGA (seed=none, id=128)",False,171.0,0.2322459241278902,46.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
E0,S07_NSGA,7,front_point,129,none,"S07_NSGA (seed=none, id=129)",False,170.0,0.232420668346041,46.0,,,,S05_GS_SDSU,0,-inf,-inf,-inf,True
