solution_id,seed,origin,feasible,f1,f2,f3
112,37,random,True,136.0,0.24002204183559536,44.0
113,37,random,True,134.0,0.2421189724534036,44.0
114,37,random,True,125.0,0.25111829968816407,44.0
115,19,random,True,172.0,0.2326303614078217,45.0
116,37,random,True,168.0,0.23360892902946562,45.0
117,37,random,True,168.0,0.23360892902946562,45.0
118,37,random,True,157.0,0.23416811052754782,45.0
119,37,random,True,135.0,0.23913084632302697,45.0
120,37,random,True,135.0,0.23913084632302697,45.0
121,37,random,True,134.0,0.24159473979895166,45.0
122,37,random,True,133.0,0.24183938170436253,45.0
123,37,random,True,131.0,0.2426432051078557,45.0
124,37,random,True,131.0,0.2426432051078557,45.0
125,37,random,True,176.0,0.23097029133539024,46.0
126,37,random,True,176.0,0.23097029133539024,46.0
127,37,random,True,175.0,0.23212360317518485,46.0
128,37,random,True,171.0,0.23224592412789025,46.0
129,37,random,True,170.0,0.232420668346041,46.0
130,37,random,True,170.0,0.232420668346041,46.0
131,37,random,True,169.0,0.23317206848408886,46.0
132,37,random,True,169.0,0.23317206848408886,46.0
133,37,random,True,162.0,0.23317206848408895,46.0
134,37,random,True,161.0,0.23336428712405466,46.0
135,37,random,True,157.0,0.2341681105275478,46.0
136,37,random,True,147.0,0.23469234318199983,46.0
137,37,random,True,146.0,0.23491951066559572,46.0
138,37,random,True,146.0,0.23491951066559572,46.0
139,37,random,True,139.0,0.23512920372737656,46.0
140,37,random,True,139.0,0.23512920372737656,46.0
141,37,random,True,175.0,0.23177411473888343,48.0
142,37,random,True,166.0,0.2322459241278902,48.0
143,37,random,True,166.0,0.2322459241278902,48.0
144,37,random,True,165.0,0.23226339854970526,48.0
145,37,random,True,165.0,0.23226339854970526,48.0
146,37,random,True,163.0,0.23282258004778753,48.0
147,37,random,True,163.0,0.23282258004778753,48.0
148,37,random,True,155.0,0.23453507338566426,48.0
149,37,random,True,134.0,0.23970750224292434,48.0
150,37,random,True,134.0,0.23970750224292434,48.0
151,37,random,True,125.0,0.2504717460810065,48.0
152,37,random,True,138.0,0.23776784142145166,49.0
153,37,random,True,138.0,0.23776784142145166,49.0
154,37,random,True,134.0,0.23813480427956812,49.0
155,37,random,True,168.0,0.2310052401790205,50.0
156,37,random,True,159.0,0.23301479868775335,50.0
157,37,random,True,158.0,0.23376619882580119,50.0
158,37,random,True,155.0,0.2342904314802533,50.0
159,37,random,True,171.0,0.23074312385179446,52.0
160,37,random,True,171.0,0.23074312385179446,52.0
161,37,random,True,167.0,0.23145957514621224,52.0
162,37,random,True,167.0,0.23145957514621224,52.0
