token_index,token_type,part_id,part_name,topcoat_name,topcoat_no,color_code,quantity,original,job_id,prov_row_index,prov_seq_in_row,part_part_name,part_part_category,part_part_type,part_part_no,topcoat_topcoat_name,topcoat_topcoat_no,topcoat_topcoat_family,setup_cost,cumulative_setup_cost
52,JOB,front_bumper_e,Front bumper E,Obsidian Black,10.0,C_OBSIDIAN_BLACK,4.0,373.0,J000054,24.0,2.0,Front bumper E,Front bumper,E,8.0,Obsidian Black,10.0,BLACK,0.0,4.0
53,JOB,front_bumper_e,Front bumper E,Obsidian Black,10.0,C_OBSIDIAN_BLACK,4.0,373.0,J000055,24.0,3.0,Front bumper E,Front bumper,E,8.0,Obsidian Black,10.0,BLACK,0.0,4.0
54,JOB,front_bumper_e,Front bumper E,Obsidian Black,10.0,C_OBSIDIAN_BLACK,4.0,373.0,J000056,24.0,4.0,Front bumper E,Front bumper,E,8.0,Obsidian Black,10.0,BLACK,0.0,4.0
55,JOB,rear_bumper_c,Rear bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,9.0,808.0,J000095,39.0,1.0,Rear bumper C,Rear bumper,C,13.0,Obsidian Black,10.0,BLACK,0.0,4.0
56,JOB,rear_bumper_c,Rear bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,9.0,808.0,J000096,39.0,2.0,Rear bumper C,Rear bumper,C,13.0,Obsidian Black,10.0,BLACK,0.0,4.0
57,JOB,rear_bumper_c,Rear bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,9.0,808.0,J000097,39.0,3.0,Rear bumper C,Rear bumper,C,13.0,Obsidian Black,10.0,BLACK,0.0,4.0
58,JOB,rear_bumper_c,Rear bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,9.0,808.0,J000098,39.0,4.0,Rear bumper C,Rear bumper,C,13.0,Obsidian Black,10.0,BLACK,0.0,4.0
59,JOB,rear_bumper_c,Rear bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,9.0,808.0,J000099,39.0,5.0,Rear bumper C,Rear bumper,C,13.0,Obsidian Black,10.0,BLACK,0.0,4.0
60,JOB,rear_bumper_c,Rear bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,9.0,808.0,J000100,39.0,6.0,Rear bumper C,Rear bumper,C,13.0,Obsidian Black,10.0,BLACK,0.0,4.0
61,JOB,rear_bumper_c,Rear bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,9.0,808.0,J000101,39.0,7.0,Rear bumper C,Rear bumper,C,13.0,Obsidian Black,10.0,BLACK,0.0,4.0
62,JOB,rear_bumper_c,Rear bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,9.0,808.0,J000102,39.0,8.0,Rear bumper C,Rear bumper,C,13.0,Obsidian Black,10.0,BLACK,0.0,4.0
63,JOB,rear_bumper_c,Rear bumper C,Obsidian Black,10.0,C_OBSIDIAN_BLACK,9.0,808.0,J000103,39.0,9.0,Rear bumper C,Rear bumper,C,13.0,Obsidian Black,10.0,BLACK,0.0,4.0
64,JOB,middle_spoiler_a,Middle spoiler A,Polar White,1.0,C_POLAR_WHITE,2.0,149.0,J000007,5.0,1.0,Middle spoiler A,Middle spoiler,A,3.0,Polar White,1.0,WHITE,1.0,5.0
65,JOB,middle_spoiler_a,Middle spoiler A,Polar White,1.0,C_POLAR_WHITE,2.0,149.0,J000008,5.0,2.0,Middle spoiler A,Middle spoiler,A,3.0,Polar White,1.0,WHITE,0.0,5.0
66,JOB,front_bumper_a,Front bumper A,Polar White,1.0,C_POLAR_WHITE,9.0,885.0,J000017,10.0,1.0,Front bumper A,Front bumper,A,4.0,Polar White,1.0,WHITE,0.0,5.0
67,JOB,front_bumper_a,Front bumper A,Polar White,1.0,C_POLAR_WHITE,9.0,885.0,J000018,10.0,2.0,Front bumper A,Front bumper,A,4.0,Polar White,1.0,WHITE,0.0,5.0
68,JOB,front_bumper_a,Front bumper A,Polar White,1.0,C_POLAR_WHITE,9.0,885.0,J000019,10.0,3.0,Front bumper A,Front bumper,A,4.0,Polar White,1.0,WHITE,0.0,5.0
69,JOB,front_bumper_a,Front bumper A,Polar White,1.0,C_POLAR_WHITE,9.0,885.0,J000020,10.0,4.0,Front bumper A,Front bumper,A,4.0,Polar White,1.0,WHITE,0.0,5.0
70,JOB,front_bumper_a,Front bumper A,Polar White,1.0,C_POLAR_WHITE,9.0,885.0,J000021,10.0,5.0,Front bumper A,Front bumper,A,4.0,Polar White,1.0,WHITE,0.0,5.0
71,JOB,front_bumper_a,Front bumper A,Polar White,1.0,C_POLAR_WHITE,9.0,885.0,J000022,10.0,6.0,Front bumper A,Front bumper,A,4.0,Polar White,1.0,WHITE,0.0,5.0
72,JOB,front_bumper_a,Front bumper A,Polar White,1.0,C_POLAR_WHITE,9.0,885.0,J000023,10.0,7.0,Front bumper A,Front bumper,A,4.0,Polar White,1.0,WHITE,0.0,5.0
73,JOB,front_bumper_a,Front bumper A,Polar White,1.0,C_POLAR_WHITE,9.0,885.0,J000024,10.0,8.0,Front bumper A,Front bumper,A,4.0,Polar White,1.0,WHITE,0.0,5.0
74,JOB,front_bumper_a,Front bumper A,Polar White,1.0,C_POLAR_WHITE,9.0,885.0,J000025,10.0,9.0,Front bumper A,Front bumper,A,4.0,Polar White,1.0,WHITE,0.0,5.0
75,JOB,front_bumper_b,Front bumper B,Polar White,1.0,C_POLAR_WHITE,1.0,28.0,J000029,14.0,1.0,Front bumper B,Front bumper,B,5.0,Polar White,1.0,WHITE,0.0,5.0
76,JOB,front_bumper_f,Front bumper F,Polar White,1.0,C_POLAR_WHITE,10.0,961.0,J000065,28.0,1.0,Front bumper F,Front bumper,F,9.0,Polar White,1.0,WHITE,0.0,5.0
77,JOB,front_bumper_f,Front bumper F,Polar White,1.0,C_POLAR_WHITE,10.0,961.0,J000066,28.0,2.0,Front bumper F,Front bumper,F,9.0,Polar White,1.0,WHITE,0.0,5.0
78,JOB,front_bumper_f,Front bumper F,Polar White,1.0,C_POLAR_WHITE,10.0,961.0,J000067,28.0,3.0,Front bumper F,Front bumper,F,9.0,Polar White,1.0,WHITE,0.0,5.0
79,JOB,front_bumper_f,Front bumper F,Polar White,1.0,C_POLAR_WHITE,10.0,961.0,J000068,28.0,4.0,Front bumper F,Front bumper,F,9.0,Polar White,1.0,WHITE,0.0,5.0
